x^3 - x^2 + 9*x - 25
x^3 - 17*x - 12
x^3 - x^2 - 10*x + 21
x^3 - x^2 + 7*x + 21
x^3 - x^2 + 9*x - 10
x^3 - x^2 - 4*x + 14
x^3 - x^2 - 18*x - 12
x^3 - x^2 - 10*x - 24
x^3 - x^2 - 8*x + 18
x^3 - 10*x - 1
x^3 - x^2 - 5*x - 23
x^3 - x^2 - 11*x + 12
x^3 - 16*x - 4
x^3 - x^2 + 10*x - 7
x^3 + 9*x - 35
x^3 - 11*x - 7
x^3 - x^2 - 2*x + 13
x^3 - x^2 + 3*x - 13
x^3 + 15*x - 29
x^3 - 8*x - 15
x^3 - x^2 - 7*x - 12
x^3 - x^2 + 7*x + 8
x^3 + 10*x - 1
x^3 + 11*x - 20
x^3 - x^2 + 5*x + 10
x^3 - x^2 + 6*x - 13
x^3 - 5*x - 13
x^3 - x^2 - 10*x + 7
x^3 + 7*x - 10
x^3 - x^2 - 13*x - 18
x^3 - x^2 + 11*x + 17
x^3 - x^2 + 2*x + 24
x^3 - x^2 + 11*x - 38
x^3 - x^2 + 3*x + 36
x^3 - x^2 + 10*x + 1
x^3 - 18*x - 16
x^3 + 6*x - 24
x^3 - 37
x^3 + 10*x - 2
x^3 - x^2 - 14*x + 29
x^3 - x^2 - 2*x - 24
x^3 - x^2 - 11*x - 25
x^3 - x^2 + x - 25
x^3 - x^2 - x - 12
x^3 - x^2 + 16*x - 12
x^3 - x^2 + 14*x - 20
x^3 - x^2 - 15*x + 39
x^3 - 14*x - 32
x^3 - x^2 - 7*x + 17
x^3 - x^2 + 2*x - 13
x^3 - x^2 + 5*x + 23
x^3 - x^2 - 12*x + 45
x^3 - x^2 - 12*x - 7
x^3 - x^2 + 2*x - 38
x^3 + 16*x - 4
x^3 + 9*x - 36
x^3 - 12*x - 10
x^3 - x^2 - 9*x - 36
x^3 + 7*x - 24
x^3 - x^2 - 15*x - 29
x^3 + 9*x - 7
x^3 + 10*x - 3
x^3 - x^2 + 4*x + 11
x^3 - x^2 - 4*x - 24
x^3 - 13*x - 22
x^3 - x^2 - 12*x + 15
x^3 - x^2 - 6*x + 28
x^3 - x^2 + 8*x + 7
x^3 - x^2 - 14*x - 28
x^3 - 10*x - 28
x^3 - x^2 + 4*x - 39
x^3 - x^2 + 15*x - 36
x^3 - x^2 - 13*x + 27
x^3 - x^2 + 7*x - 13
x^3 - 4*x - 13
x^3 - x^2 + 12*x - 24
x^3 - x^2 - 16*x + 8
x^3 - x^2 - 12*x + 25
x^3 - x^2 - 16*x + 4
x^3 - x^2 - 10*x + 5
x^3 + 15*x - 12
x^3 - x^2 - 16*x - 23
x^3 - x^2 + 10*x + 2
