x^6 - 3*x^5 - 12*x^4 + 27*x^3 + 21*x^2 - 48*x + 17
x^6 - 2*x^5 - 13*x^4 + 14*x^3 + 26*x^2 - 28*x + 1
x^6 - 2*x^5 - x^4 - 2*x^3 + 34*x^2 + 28*x + 73
x^6 - 2*x^5 - 6*x^4 + x^3 + 80*x^2 + 21*x + 9
x^6 - x^5 - 16*x^4 + x^3 + 47*x^2 + 10*x - 11
x^6 - 3*x^5 - 4*x^4 + 13*x^3 + 7*x^2 - 14*x + 28
x^6 - x^5 + 10*x^4 - 7*x^3 + 75*x^2 - 16*x + 239
x^6 - x^5 - 20*x^4 + 20*x^3 + 106*x^2 - 106*x - 83
x^6 + 13*x^4 + 26*x^2 + 13
x^6 - 18*x^4 - 8*x^3 + 81*x^2 + 72*x - 17
x^6 - 3*x^5 - 7*x^4 + 19*x^3 - 5*x^2 - 5*x + 121
x^6 + 21*x^4 + 126*x^2 + 189
x^6 - 3*x^5 + 6*x^4 + 15*x^3 - 27*x^2 - 36*x + 144
x^6 - 3*x^5 - 12*x^4 + 29*x^3 + 5*x^2 - 20*x - 4
x^6 - 3*x^5 - 15*x^4 + 33*x^3 + 39*x^2 - 75*x + 19
x^6 - 2*x^5 + 15*x^4 - 18*x^3 + 122*x^2 - 88*x + 433
x^6 - x^5 + 22*x^4 - 22*x^3 + 148*x^2 - 148*x + 337
x^6 - x^5 + 5*x^3 + 39*x^2 - 74*x + 155
x^6 + 18*x^4 - 10*x^3 + 81*x^2 - 90*x + 181
x^6 - x^5 - 7*x^4 - 5*x^3 + 53*x^2 + 97*x + 121
x^6 - 3*x^5 + 12*x^4 - 17*x^3 + 87*x^2 - 114*x + 323
x^6 - 9*x^4 - 2*x^3 + 63*x^2 - 48*x + 20
x^6 - x^5 - 18*x^4 + 17*x^3 + 58*x^2 - 16*x - 1
x^6 - 28*x^3 + 343
x^6 - 35*x^3 + 343
x^6 - 2*x^5 - 16*x^4 + 18*x^3 + 39*x^2 - 52*x + 13
x^6 - x^5 + 13*x^4 + 34*x^3 + 133*x^2 + 132*x + 121
x^6 - x^5 - 26*x^4 + 17*x^3 + 159*x^2 - 64*x - 169
x^6 - 3*x^5 + 6*x^4 + 19*x^3 - 33*x^2 - 42*x + 196
x^6 - 12*x^4 + 29*x^2 + 50
x^6 - 2*x^5 - 5*x^4 + 18*x^3 + 38*x^2 - 152*x + 209
x^6 - 2*x^5 - 17*x^4 + 34*x^3 + 30*x^2 - 32*x - 7
x^6 - x^5 - 17*x^4 - 11*x^3 + 37*x^2 + 33*x + 7
x^6 - 3*x^5 - 5*x^4 + 15*x^3 - 5*x^2 - 3*x + 1
x^6 - x^5 + 29*x^4 - 29*x^3 + 253*x^2 - 253*x + 701
x^6 - 18*x^4 - 24*x^3 + 27*x^2 + 36*x - 6
