x^5 - x^4 - 3*x^3 + x^2 - 5*x + 1
x^5 - 2*x^4 - 2*x^3 + 8*x^2 - 2*x - 4
x^5 - x^4 - 2*x^3 + 5*x^2 - 1
x^5 - 4*x^3 - 5*x^2 - 2*x + 1
x^5 - x^3 - 4*x^2 + 2*x + 1
x^5 - 2*x^4 - 2*x^3 + 3*x^2 - 3*x - 1
x^5 - 2*x^4 - 2*x^3 + 6*x + 3
x^5 - 4*x^3 - x^2 - 3*x - 1
x^5 - 2*x^4 - 3*x^3 + 3*x^2 - 2*x - 1
x^5 - x^4 - 4*x^3 - x^2 + 2*x + 2
x^5 - 2*x^4 + 2*x^3 - 5*x^2 + 3*x + 2
x^5 - x^3 - 4*x^2 - x + 1
x^5 - x^4 - x^3 - 6*x^2 + 12*x - 4
x^5 - 2*x^4 + x^3 + 3*x^2 - 8*x + 4
x^5 - x^4 - 2*x^3 - 4*x^2 + 4*x + 4
x^5 - x^4 - 2*x^2 - 4*x - 1
x^5 - x^4 - 5*x^3 + x^2 + 4*x + 4
x^5 - 2*x^4 - 4*x^3 + 4*x^2 + 3*x - 1
x^5 + x^3 - 2*x^2 - 2*x - 3
x^5 - x^4 - 2*x^3 + 3*x^2 - x - 3
x^5 - 2*x^4 - 2*x^3 + 7*x^2 - 2*x - 1
x^5 - 3*x^3 - 4*x^2 + x + 2
x^5 - 2*x^3 - 3*x^2 - 7*x + 2
x^5 - 2*x^4 - 4*x^3 + 8*x^2 + 2*x - 6
x^5 - x^4 - x^3 + 5*x^2 - 9*x + 3
x^5 - 2*x^4 + 2*x^3 - 7*x^2 + 7*x + 1
x^5 - x^4 - x^3 + 6*x^2 - x - 7
x^5 - x^4 - 3*x^3 - x^2 + x + 2
x^5 - 2*x^4 + 2*x^3 - x^2 - 4*x - 1
x^5 - 2*x^4 - 3*x^3 + 7*x^2 + 2*x - 1
x^5 - 2*x^4 - 2*x^3 + 8*x^2 - 12*x + 9
x^5 - 5*x^3 - 3*x^2 + 7*x + 5
x^5 - 2*x^4 + 5*x^2 - x - 1
x^5 - 2*x^3 - x^2 - 3*x - 2
x^5 - 2*x^4 - x^3 - x^2 + 5*x + 1
x^5 - x^4 - 3*x^3 + 5*x^2 + 2*x - 3
x^5 - 7*x^3 - 6*x^2 + 2*x + 1
x^5 - 6*x^3 - x^2 + 7*x + 4
x^5 - x^4 + x^3 + x^2 - 4*x + 1
x^5 - 2*x^4 - 4*x^3 + 9*x^2 - 3
x^5 - x^4 - 3*x^3 + 8*x^2 - 11*x + 1
x^5 - x^4 - x^3 - 3*x + 1
x^5 - 2*x^4 - x^3 + 6*x^2 - 2*x - 1
x^5 - 2*x^4 - 2*x^3 + 4*x^2 - 2*x - 1
x^5 - 3*x^3 - 3*x^2 + x + 3
x^5 - x^4 - 2*x^3 + x^2 - 2*x - 2
x^5 - 6*x^3 + 6*x - 2
x^5 - x^2 - 3*x + 2
x^5 - x^4 - 2*x^3 + 2*x^2 - 3*x + 2
x^5 - x^4 + x^3 + x^2 - 7*x + 4
x^5 - x^4 - 2*x^3 - x^2 - 2*x + 1
x^5 - 4*x^3 - 2*x^2 + 4
x^5 - 2*x^4 - x^3 - 2*x^2 + 2*x + 1
x^5 - 2*x^4 - 3*x + 1
x^5 - x^4 + x^3 - 4*x^2 + 1
x^5 - 2*x^4 + 2*x^3 - 3*x^2 - 3*x + 1
x^5 - x^4 - 3*x^3 + 2*x^2 - 4*x + 1
